Ancient India,Indus Valley Civilization,"The Indus Valley Civilisation (IVC), also known as the Indus Civilisation, was a Bronze Age civilisation in the northwestern regions of South Asia, lasting from 3300 BCE to 1300 BCE, and in its mature form from 2600 BCE to 1900 BCE. Together with ancient Egypt and Mesopotamia, it was one of three early civilisations of the Near East and South Asia, and of the three, the most widespread, its sites spanning an area including much of modern day Pakistan, northwestern India and northeast Afghanistan.[3][b] The civilisation flourished both in the alluvial plain of the Indus River, which flows through the length of Pakistan, and along a system of perennial monsoon-fed rivers that once coursed in the vicinity of the Ghaggar-Hakra, a seasonal river in northwest India and eastern Pakistan."
Ancient India,Indus Valley Civilization,"The term Harappan is sometimes applied to the Indus Civilisation after its type site Harappa, the first to be excavated early in the 20th century in what was then the Punjab province of British India and is now Punjab, Pakistan.The discovery of Harappa and soon afterwards Mohenjo-daro was the culmination of work that had begun after the founding of the Archaeological Survey of India in the British Raj in 1861.There were earlier and later cultures called Early Harappan and Late Harappan in the same area. The early Harappan cultures were populated from Neolithic cultures, the earliest and best-known of which is named after Mehrgarh, in Balochistan, Pakistan.Harappan civilisation is sometimes called Mature Harappan to distinguish it from the earlier cultures."
Ancient India,Indus Valley Civilization,"The cities of the ancient Indus were noted for their urban planning, baked brick houses, elaborate drainage systems, water supply systems, clusters of large non-residential buildings, and techniques of handicraft and metallurgy.Mohenjo-daro and Harappa very likely grew to contain between 30,000 and 60,000 individuals,and the civilisation may have contained between one and five million individuals during its florescence.A gradual drying of the region during the 3rd millennium BCE may have been the initial stimulus for its urbanisation. Eventually it also reduced the water supply enough to cause the civilisation's demise and to disperse its population to the east."
Ancient India,Indus Valley Civilization,Ochre Coloured Pottery culture
Ancient India,Indus Valley Civilization,"Although over a thousand Mature Harappan sites have been reported and nearly a hundred excavated,[f] there are five major urban centres:[12][g] Mohenjo-daro in the lower Indus Valley declared a UNESCO World Heritage Site in 1980 as Archaeological Ruins at Moenjodaro Harappa in the western Punjab region, Ganeriwala in the Cholistan Desert, Dholavira in western Gujarat declared a UNESCO World Heritage Site in 2021 as Dholavira: A Harappan City and Rakhigarhi in Haryana.[13][h] The Harappan language is not directly attested, and its affiliations are uncertain, as the Indus script has remained undeciphered.[14] A relationship with the Dravidian or Elamo-Dravidian language family is favoured by a section of scholars."
Ancient India,Vedic Period,"In addition to the archaeological legacy discussed above, there remains from this period the earliest literary record of Indian culture, the Vedas. Composed in archaic, or Vedic, Sanskrit, generally dated between 1500 and 800 bce, and transmitted orally, the Vedas comprise four major texts—the Rig-, the Sama-, the Yajur-, and the Atharvaveda. Of these, the Rigveda is believed to be the earliest. The texts consist of hymns, charms, spells, and ritual observations current among the Indo-European-speaking people known as Aryans (from Sanskrit arya, “noble”), who presumably entered India from the Iranian regions."
Ancient India,Vedic Period,"Theories concerning the origins of the Aryans, whose language is also called Aryan, relate to the question of what has been called the Indo-European homeland. In the 17th and 18th centuries ce, European scholars who first studied Sanskrit were struck by the similarity in its syntax and vocabulary to Greek and Latin. This resulted in the theory that there had been a common ancestry for these and other related languages, which came to be called the Indo-European group of languages. This in turn resulted in the notion that Indo-European-speaking peoples had a common homeland from which they migrated to various parts of Asia and Europe. The theory stirred intense speculation, which continues to the present day, regarding the original homeland and the period or periods of the dispersal from it. The study of Vedic India is still beset by “the Aryan problem,” which often clouds the genuine search for historical insight into this period."
Ancient India,Vedic Period,"Characterized by the composition of the Vedas, early Sanskrit texts central to Hindu culture."
Ancient India,Vedic Period,Marked by the formation of social structure and early agricultural communities.
Ancient India,Maurya Empire,"Founded by Chandragupta Maurya, reaching its zenith under Emperor Ashoka."
Ancient India,Maurya Empire,"The Maurya Empire was a geographically extensive Iron Age historical power in South Asia based in Magadha. Founded by Chandragupta Maurya in 322 BCE, it existed in loose-knit fashion until 185 BCE.[20] The empire was centralized by the conquest of the Indo-Gangetic Plain; its capital city was located at Pataliputra (modern Patna)"
Ancient India,Maurya Empire,"Outside this imperial centre, the empire's geographical extent was dependent on the loyalty of military commanders who controlled the armed cities scattered within it."
Ancient India,Maurya Empire,Known for Ashoka's conversion to Buddhism and promotion of non-violence after the Kalinga War.
Ancient India,Gupta Empire,"Often called the 'Golden Age of India,' with notable advancements in mathematics, astronomy, and literature."
Ancient India,Gupta Empire,"The Gupta Empire was an ancient Indian empire on the Indian subcontinent which existed from the mid 3rd century CE to mid 6th century CE. It was the seventh ruling dynasty of Magadha. At its zenith, from approximately 319 to 467 CE, it covered much of the Indian subcontinent.[8] This period has been considered as the Golden Age of India by historians,[9] although this characterisation has been disputed by some other historians.[note 1][note 2][12] The ruling dynasty of the empire was founded by Gupta and the most notable rulers of the dynasty were Chandragupta I, Samudragupta, Chandragupta II, Kumaragupta I and Skandagupta."
Ancient India,Gupta Empire,"The empire eventually died out because of factors such as substantial loss of territory and imperial authority caused by their own erstwhile feudatories, as well as the invasion by the Huna peoples (Kidarites and Alchon Huns) from Central Asia.[22][23] After the collapse of the Gupta Empire in the 6th century, India was again ruled by numerous regional kingdoms."
Ancient India,Gupta Empire,"Aryabhata, a mathematician and astronomer, proposed the concept of zero during this era."
Medieval India,Delhi Sultanate,"A series of Muslim dynasties ruled from Delhi, influencing art and architecture."
Medieval India,Delhi Sultanate,"The Delhi Sultanate or the Sultanate of Delhi[a] was a late medieval empire primarily based in Delhi that stretched over large parts of the Indian subcontinent, for more than three centuries. The sultanate was established around c. 1206–1211 in the former Ghurid territories in India."
Medieval India,Delhi Sultanate,"The sultanate's history is generally divided into five periods: Mamluk (1206–1290), Khalji (1290–1320), Tughlaq (1320–1414), Sayyid (1414–1451), and Lodi (1451–1526). It covered large swaths of territory in modern-day India, Pakistan, Bangladesh, as well as some parts of southern Nepal."
Medieval India,Delhi Sultanate,Notable rulers included Alauddin Khilji and Muhammad bin Tughlaq.
Medieval India,Vijayanagara Empire,"A Hindu empire in southern India, known for its prosperity, trade, and monumental architecture."
Medieval India,Vijayanagara Empire,The Vijayanagara Empire[a] or the Karnata Kingdom was a late medieval Hindu empire that ruled much of southern India.
Medieval India,Vijayanagara Empire,"It was established in 1336 by the brothers Harihara I and Bukka Raya I of the Sangama dynasty, members of a pastoralist cowherd community that claimed Yadava lineage."
Medieval India,Vijayanagara Empire,"Hampi, its capital, remains a UNESCO World Heritage site with remarkable temples and monuments."
Medieval India,Mughal Empire,"A powerful dynasty that blended Persian, Indian, and Islamic cultures."
Medieval India,Mughal Empire,"The Mughal Empire was an early modern empire in South Asia. At its peak, the empire stretched from the outer fringes of the Indus River Basin in the west, northern Afghanistan in the northwest, and Kashmir in the north, to the highlands of present-day Assam and Bangladesh in the east, and the uplands of the Deccan Plateau in South India."
Medieval India,Mughal Empire,"Prominent rulers included Akbar, Jahangir, and Shah Jahan, the latter commissioning the Taj Mahal."
Colonial India,British East India Company,A trading company that gradually gained military and political control over Indian territories.
Colonial India,British East India Company,"The East India Company (EIC) was an English, and later British, joint-stock company founded in 1600 and dissolved in 1874. It was formed to trade in the Indian Ocean region, initially with the East Indies (South Asia and Southeast Asia), and later with East Asia."
